品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
美的,MW-12HRF8F,U2-C260229,2020,1,379,3.65,4.7351,R32,1,38,3.62,3.9792,東芝香港有限公司,是
美的,MW-09HRF8F,U2-C260228,2020,1,267,2.74,5.0707,R32,1,32,3.08,4.0804,東芝香港有限公司,是
美的,MW-07HRF8F,U2-C260227,2020,1,214,2.19,4.9673,R32,1,25,2.39,4.1941,東芝香港有限公司,是
美的,MW-18CM8C,U2-C260226,2020,3,823,5.35,3.2561,R32,不適用,—,—,—,東芝香港有限公司,否
美的,MW-12CM8C,U2-C260225,2020,3,546,3.56,3.2599,R32,不適用,—,—,—,東芝香港有限公司,否
美的,MW-09CM8C,U2-C260224,2020,3,393,2.73,3.3994,R32,不適用,—,—,—,東芝香港有限公司,否
美的,MW-07CM8C,U2-C260223,2020,3,315,2.09,3.2954,R32,不適用,—,—,—,東芝香港有限公司,否
美的,MW-18CRF8EP,U2-C260222,2020,1,559,5.36,4.7908,R32,不適用,—,—,—,東芝香港有限公司,是
美的,MW-12CRF8EP,U2-C260221,2020,1,384,3.44,4.6272,R32,不適用,—,—,—,東芝香港有限公司,是
美的,MW-09CRF8EP,U2-C260220,2020,1,283,2.70,4.7183,R32,不適用,—,—,—,東芝香港有限公司,是
美的,MW-07CRF8EP,U2-C260219,2020,1,246,2.35,4.6394,R32,不適用,—,—,—,東芝香港有限公司,是
美的,MW-22CRF8E,U2-C260218,2020,1,678,6.32,4.8068,R32,不適用,—,—,—,東芝香港有限公司,是
美的,MW-18CRF8E,U2-C260217,2020,1,578,5.35,4.6392,R32,不適用,—,—,—,東芝香港有限公司,是
美的,MW-12CRF8E,U2-C260216,2020,1,362,3.42,4.6618,R32,不適用,—,—,—,東芝香港有限公司,是
美的,MW-09CRF8E,U2-C260215,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,東芝香港有限公司,是
美的,MW-07CRF8E,U2-C260214,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,東芝香港有限公司,是
開利,CHK021FBVX,U2-C260208,2020,1,665,6.32,4.7953,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK018FBVX,U2-C260207,2020,1,578,5.35,4.6392,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK012FBVX,U2-C260206,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK009FBVX,U2-C260205,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
開利,CHK007FBVX,U2-C260204,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
Panasonic,CW-SUL90BA,U2-C260203,2020,1,280,2.62,4.6976,R32,不適用,—,—,—,信興電器貿易有限公司,是
Panasonic,CW-SUL70BA,U2-C260202,2020,1,235,2.18,4.6668,R32,不適用,—,—,—,信興電器貿易有限公司,是
