brand,model
CANOPUS 肯特,TA-09EOG
TOSOT 大松,W09R5A
Carrier 開利,CHK09BE
Midea 美的,MW-09CR8C
HITACHI 日立,RA-10RF
Rasonic 樂信,RC-XG9
CANOPUS 肯特,TA-12EOG
Midea 美的,MW-12CR8C
Carrier 開利,CHK12BE
TOSOT 大松,W12R5A
Rasonic 樂信,RC-XG12
CANOPUS 肯特,TA-18EOG
Carrier 開利,CHK18BE
TOSOT 大松,W18R5A
FUJI 富士,RFR18FNTN
TOSOT 大松,W24R5A
COMFEE,CWF-09CRFN8-AD5
Carrier 開利,CHK09EAVXP
Midea 美的,MW-09CRF8B
Gree 格力,GWF09P
Panasonic 樂聲,CW-HU90AA
COMFEE,CWF-12CRFN8-AD5
Carrier 開利,CHK12EAVXP
Gree 格力,GWF12DB
General 珍寶,AMWB12NID
Panasonic 樂聲,CW-HU120AA
COMFEE,CWF-18CRFN8-AD5
Carrier 開利,CHK18EAVX
Rasonic 樂信,RC-TS18UV
