# 要求（必須遵守）：
# 1. price_low / price_high 只填整數港元，唔好有 $ 或逗號（例：2500）
# 2. 只搜「冷氣機」本體價格；遙控器、濾網、安裝費一律忽略
# 3. 得一個價錢時 price_low = price_high
# 4. 搜唔到可靠資料就留空——嚴禁估計、嚴禁填舊資料當新價
# 5. source 填實際參考網站名（BigGo / Price.com.hk / 豐澤 / HKTVmall 等），搜唔到留空
"# 6. 輸出 CSV：brand,model,price_low,price_high,source（唔好省略任何一行）"
brand,model
Midea 美的,MW-22CRF8E
Midea 美的,MW-18CRF8E
Midea 美的,MW-12CRF8E
Midea 美的,MW-09CRF8E
Midea 美的,MW-07CRF8E
Carrier 開利,CHK021FBVX
Carrier 開利,CHK018FBVX
Carrier 開利,CHK012FBVX
Carrier 開利,CHK009FBVX
Carrier 開利,CHK007FBVX
Panasonic 樂聲,CW-SUL90BA
Panasonic 樂聲,CW-SUL70BA
Rasonic 樂信,RC-SUL90B
Rasonic 樂信,RC-SUL70B
金田,KA-W018A
金田,KA-W012A
金田,KA-W009A
金田,KA-W007A
Carrier 開利,WFQ12VW
Carrier 開利,WFQ09VW
Carrier 開利,WFQ07VW
PHILIPS 飛利浦,FAC09CA
PHILIPS 飛利浦,FAC07CA
PHILIPS 飛利浦,FAC18CA
PHILIPS 飛利浦,FAC12CA
PHILIPS 飛利浦,FAC18FA
PHILIPS 飛利浦,FAC12FA
PHILIPS 飛利浦,FAC09FA
PHILIPS 飛利浦,FAC07FA
晶弘,KHWIC24A1
晶弘,KHWIC18A1
晶弘,KHWIC12A1
晶弘,KHWIC09A1
Rasonic 樂信,RC-H24HR
Rasonic 樂信,RC-H18HR
Rasonic 樂信,RC-H12HR
Rasonic 樂信,RC-H9HR
Rasonic 樂信,RC-H7HR
TOSHIBA 東芝,RAC-18G3CVRGR-HK1
TOSHIBA 東芝,RAC-09G3CVRGR-HK1
TOSHIBA 東芝,RAC-07G3CVRGR-HK1
TOSHIBA 東芝,RAC-07G3CVRG-HK1
晶弘,KHWIC07A1
WHITE-WESTINGHOUSE,WWN18CRV2
WHITE-WESTINGHOUSE,WWN12CRV2
WHITE-WESTINGHOUSE,WWN09CRV2
WHITE-WESTINGHOUSE,WWN07CRV2
晶弘,KHWRCFC24
晶弘,KHWRCFC18
晶弘,KHWRCFC12
晶弘,KHWRCFC09
晶弘,KHWRCFC07
快意寶,W189R-PAC
快意寶,W129R-PAC
快意寶,W099R-PAC
快意寶,W079R-PAC
快意寶,W182-PAC
快意寶,W122A-PAC
