brand,model,price_low,price_high,source
CANOPUS 肯特,TA-09EOG,2220,3106,BBE
TOSOT 大松,W09R5A,,
Carrier 開利,CHK09BE,1832,3680,ElectricTung
Midea 美的,MW-09CR8C,2880,4499,ACPRO
HITACHI 日立,RA-10RF,5150,5150,Hitachi
Rasonic 樂信,RC-XG9,,
CANOPUS 肯特,TA-12EOG,2988,4348,TungYu
Midea 美的,MW-12CR8C,3980,5699,ACPRO
Carrier 開利,CHK12BE,3010,4600,HKTVmall
TOSOT 大松,W12R5A,,
Rasonic 樂信,RC-XG12,,
CANOPUS 肯特,TA-18EOG,3287,5056,BBE
Carrier 開利,CHK18BE,3989,7680,BBE
TOSOT 大松,W18R5A,,
FUJI 富士,RFR18FNTN,4180,6490,ACPRO
TOSOT 大松,W24R5A,,
COMFEE,CWF-09CRFN8-AD5,3490,6190,豐澤
Carrier 開利,CHK09EAVXP,3222,3580,裝修MALL
Midea 美的,MW-09CRF8B,3578,6099,BBE
Gree 格力,GWF09P,4287,6790,BBE
Panasonic 樂聲,CW-HU90AA,,
COMFEE,CWF-12CRFN8-AD5,3711,7490,豐澤
Carrier 開利,CHK12EAVXP,3996,9410,BBE
Gree 格力,GWF12DB,3479,3599,ACPRO
General 珍寶,AMWB12NID,5920,5920,eCOX
Panasonic 樂聲,CW-HU120AA,6100,8180,Price.com.hk
COMFEE,CWF-18CRFN8-AD5,5389,8890,ElectricTung
Carrier 開利,CHK18EAVX,5033,11110,BBE
Rasonic 樂信,RC-TS18UV,,
